key area lefttop (15,60)
key area right_bottom (15+752,60+230)
Current key number 26
all keys are square and size is 40 pixel units
key index      key letter     key_top_x     key_top_y
0     a     273     102     
1     b     323     102     
2     c     373     102     
3     d     423     102     
4     e     473     102     
5     f     523     102     
6     g     573     102     
7     h     623     102     
8     i     673     102     
9     j     723     102     
10     k     273     152     
11     l     323     152     
12     m     373     152     
13     n     423     152     
14     o     473     152     
15     p     523     152     
16     q     573     152     
17     r     623     152     
18     s     673     152     
19     t     723     152     
20     u     373     202     
21     v     423     202     
22     w     473     202     
23     x     523     202     
24     y     573     202     
25     z     623     202     
