letter is:lenig
x pos      y pos     time     
380     536     1     
380     533     2     
381     530     3     
381     528     4     
383     525     5     
385     522     6     
389     518     7     
392     515     8     
395     511     9     
400     507     10     
405     503     11     
410     499     12     
415     494     13     
419     488     14     
424     484     15     
431     478     16     
437     471     17     
443     465     18     
451     459     19     
459     452     20     
465     448     21     
471     444     22     
476     440     23     
481     437     24     
484     433     25     
488     430     26     
492     427     27     
494     425     28     
497     422     29     
500     420     30     
504     416     31     
506     412     32     
510     409     33     
514     405     34     
516     403     35     
518     400     36     
520     397     37     
522     394     38     
522     392     39     
522     392     40     
522     392     41     
523     391     42     
524     389     43     
525     387     44     
525     385     45     
525     383     46     
525     381     47     
525     378     48     
525     376     49     
524     374     50     
522     372     51     
521     369     52     
519     367     53     
516     364     54     
514     363     55     
512     362     56     
509     361     57     
507     361     58     
505     361     59     
503     361     60     
501     361     61     
498     360     62     
495     360     63     
492     360     64     
489     361     65     
486     361     66     
484     362     67     
481     364     68     
479     365     69     
477     367     70     
476     369     71     
473     372     72     
473     375     73     
471     380     74     
470     386     75     
468     393     76     
466     399     77     
465     407     78     
463     414     79     
462     420     80     
461     426     81     
461     431     82     
461     437     83     
463     446     84     
467     456     85     
476     469     86     
485     481     87     
497     494     88     
507     503     89     
516     512     90     
525     519     91     
533     525     92     
539     529     93     
546     533     94     
552     536     95     
557     539     96     
561     542     97     
563     544     98     
564     544     99     
565     545     100     
413     534     101     
413     532     102     
413     530     103     
413     527     104     
414     522     105     
417     516     106     
420     512     107     
424     505     108     
427     499     109     
427     499     110     
431     494     111     
434     488     112     
438     482     113     
442     476     114     
446     471     115     
452     465     116     
458     458     117     
464     452     118     
469     447     119     
476     442     120     
483     438     121     
489     434     122     
494     430     123     
500     427     124     
506     424     125     
511     420     126     
517     415     127     
521     412     128     
525     409     129     
527     406     130     
530     402     131     
531     400     132     
531     398     133     
532     395     134     
532     393     135     
532     392     136     
532     390     137     
532     388     138     
531     387     139     
529     386     140     
527     385     141     
523     384     142     
518     383     143     
512     382     144     
505     381     145     
499     381     146     
494     381     147     
489     381     148     
486     381     149     
482     382     150     
478     384     151     
476     386     152     
473     389     153     
472     392     154     
472     398     155     
472     406     156     
473     414     157     
476     426     158     
481     438     159     
485     451     160     
490     463     161     
497     476     162     
503     485     163     
508     494     164     
513     501     165     
520     509     166     
525     515     167     
529     522     168     
533     528     169     
536     531     170     
538     536     171     
541     541     172     
544     545     173     
547     550     174     
549     555     175     
552     559     176     
554     561     177     
556     563     178     
557     565     179     
557     566     180     
558     566     181     
367     550     182     
367     549     183     
369     546     184     
372     544     185     
375     541     186     
378     538     187     
382     533     188     
385     529     189     
390     524     190     
394     520     191     
399     516     192     
404     513     193     
408     508     194     
414     503     195     
419     498     196     
425     492     197     
432     486     198     
436     480     199     
440     473     200     
445     467     201     
449     461     202     
453     455     203     
458     449     204     
462     444     205     
468     437     206     
473     432     207     
478     428     208     
482     425     209     
486     421     210     
490     417     211     
495     413     212     
499     408     213     
503     403     214     
507     397     215     
511     391     216     
514     386     217     
518     382     218     
520     379     219     
523     375     220     
524     373     221     
525     371     222     
525     369     223     
526     367     224     
526     365     225     
526     364     226     
526     363     227     
526     362     228     
526     361     229     
525     360     230     
525     359     231     
523     359     232     
522     358     233     
520     357     234     
517     357     235     
514     356     236     
511     355     237     
504     354     238     
497     354     239     
491     354     240     
486     355     241     
480     357     242     
474     360     243     
466     364     244     
460     368     245     
456     374     246     
452     381     247     
449     389     248     
448     396     249     
448     404     250     
448     413     251     
450     420     252     
453     427     253     
456     433     254     
461     441     255     
468     448     256     
476     456     257     
482     463     258     
488     469     259     
496     478     260     
504     487     261     
512     496     262     
521     505     263     
530     514     264     
540     523     265     
549     531     266     
558     539     267     
564     544     268     
571     550     269     
577     557     270     
583     561     271     
588     565     272     
592     568     273     
594     571     274     
596     571     275     
596     572     276     
596     572     277     
597     572     278     
597     573     279     
396     521     280     
399     515     281     
402     507     282     
405     499     283     
409     490     284     
414     481     285     
418     473     286     
422     466     287     
426     460     288     
431     452     289     
435     445     290     
438     439     291     
442     433     292     
446     426     293     
451     420     294     
455     415     295     
458     410     296     
462     406     297     
465     402     298     
468     399     299     
471     395     300     
473     392     301     
473     389     302     
474     386     303     
474     383     304     
475     380     305     
475     377     306     
475     375     307     
475     373     308     
474     371     309     
474     368     310     
471     367     311     
469     365     312     
466     364     313     
463     364     314     
457     363     315     
450     363     316     
443     363     317     
435     363     318     
428     364     319     
419     366     320     
413     369     321     
407     371     322     
401     374     323     
395     378     324     
390     382     325     
387     387     326     
385     391     327     
385     395     328     
385     399     329     
385     404     330     
387     410     331     
391     418     332     
395     424     333     
400     433     334     
407     440     335     
416     449     336     
426     459     337     
438     468     338     
451     475     339     
467     483     340     
480     488     341     
492     492     342     
492     492     343     
506     496     344     
519     499     345     
533     504     346     
550     509     347     
564     514     348     
581     519     349     
594     524     350     
608     527     351     
618     530     352     
623     531     353     
628     532     354     
630     533     355     
631     533     356     
631     534     357     
460     558     358     
459     555     359     
457     550     360     
455     544     361     
453     538     362     
452     532     363     
451     528     364     
450     522     365     
450     515     366     
450     510     367     
450     503     368     
451     496     369     
454     488     370     
455     480     371     
458     472     372     
461     463     373     
465     454     374     
470     447     375     
475     441     376     
483     433     377     
490     426     378     
497     420     379     
503     415     380     
509     412     381     
515     410     382     
520     409     383     
526     408     384     
532     408     385     
535     408     386     
540     409     387     
546     412     388     
553     416     389     
562     420     390     
571     427     391     
579     434     392     
590     444     393     
599     451     394     
605     460     395     
611     469     396     
615     478     397     
618     484     398     
619     487     399     
620     489     400     
620     491     401     
620     493     402     
618     495     403     
615     497     404     
612     498     405     
608     498     406     
603     498     407     
597     498     408     
590     498     409     
581     495     410     
572     492     411     
560     488     412     
548     483     413     
535     476     414     
516     466     415     
497     454     416     
480     443     417     
471     435     418     
462     427     419     
453     419     420     
447     413     421     
440     405     422     
434     399     423     
431     395     424     
429     392     425     
429     390     426     
429     390     427     
429     390     428     
428     388     429     
428     387     430     
387     487     431     
389     478     432     
391     471     433     
395     463     434     
398     455     435     
402     448     436     
406     440     437     
412     432     438     
420     424     439     
426     416     440     
432     410     441     
440     403     442     
448     398     443     
455     394     444     
461     391     445     
467     389     446     
473     388     447     
478     387     448     
482     386     449     
485     386     450     
489     386     451     
493     388     452     
498     390     453     
503     393     454     
509     397     455     
515     403     456     
523     410     457     
531     416     458     
537     422     459     
543     429     460     
549     435     461     
553     441     462     
556     447     463     
559     453     464     
562     459     465     
563     464     466     
564     470     467     
564     475     468     
564     477     469     
564     479     470     
563     479     471     
561     481     472     
558     481     473     
555     482     474     
549     482     475     
543     482     476     
537     482     477     
531     479     478     
525     475     479     
517     471     480     
507     464     481     
507     464     482     
507     464     483     
497     456     484     
487     447     485     
476     437     486     
467     429     487     
461     422     488     
458     418     489     
455     412     490     
454     408     491     
453     404     492     
453     400     493     
453     397     494     
454     393     495     
455     391     496     
458     389     497     
459     387     498     
462     385     499     
464     384     500     
466     383     501     
468     383     502     
471     382     503     
472     382     504     
473     382     505     
474     382     506     
387     405     507     
391     411     508     
397     417     509     
403     425     510     
412     434     511     
422     443     512     
433     451     513     
443     459     514     
453     468     515     
465     476     516     
476     483     517     
487     489     518     
497     493     519     
509     498     520     
519     502     521     
527     506     522     
536     508     523     
543     509     524     
550     510     525     
557     511     526     
564     512     527     
571     513     528     
578     514     529     
584     514     530     
589     514     531     
594     514     532     
597     513     533     
599     511     534     
602     508     535     
603     506     536     
604     503     537     
605     497     538     
605     492     539     
605     486     540     
604     480     541     
603     473     542     
600     464     543     
596     458     544     
592     452     545     
588     448     546     
583     444     547     
577     439     548     
572     436     549     
564     432     550     
558     429     551     
558     429     552     
554     427     553     
549     426     554     
546     426     555     
543     426     556     
540     426     557     
537     426     558     
533     429     559     
529     432     560     
526     436     561     
523     442     562     
519     448     563     
516     454     564     
513     462     565     
509     470     566     
507     479     567     
506     487     568     
505     496     569     
505     504     570     
504     510     571     
504     515     572     
504     518     573     
504     520     574     
505     523     575     
505     524     576     
506     525     577     
507     526     578     
507     527     579     
507     528     580     
508     528     581     
508     529     582     
508     530     583     
508     531     584     
508     532     585     
508     533     586     
509     533     587     
371     521     588     
371     513     589     
371     504     590     
374     496     591     
377     487     592     
382     478     593     
386     470     594     
393     460     595     
401     451     596     
410     440     597     
419     431     598     
428     422     599     
436     413     600     
444     406     601     
452     399     602     
461     392     603     
468     387     604     
474     382     605     
480     377     606     
486     373     607     
492     370     608     
498     366     609     
503     365     610     
508     363     611     
512     362     612     
518     362     613     
522     361     614     
528     361     615     
533     361     616     
539     362     617     
545     364     618     
550     367     619     
554     370     620     
557     374     621     
561     379     622     
565     385     623     
571     394     624     
575     403     625     
579     411     626     
583     421     627     
586     433     628     
587     445     629     
587     456     630     
587     456     631     
587     464     632     
585     473     633     
583     478     634     
580     482     635     
578     484     636     
576     487     637     
573     488     638     
570     489     639     
567     490     640     
561     491     641     
557     491     642     
550     491     643     
542     490     644     
