x pos      y pos     time     
25     83     1     
26     83     2     
28     83     3     
28     84     4     
30     85     5     
31     85     6     
32     86     7     
33     87     8     
34     88     9     
35     88     10     
36     88     11     
37     88     12     
38     88     13     
39     88     14     
40     87     15     
41     86     16     
43     86     17     
45     85     18     
45     84     19     
47     84     20     
48     84     21     
49     83     22     
52     83     23     
53     82     24     
54     82     25     
55     82     26     
56     82     27     
57     82     28     
58     82     29     
59     82     30     
60     82     31     
61     82     32     
62     82     33     
63     83     34     
65     84     35     
66     84     36     
67     85     37     
67     86     38     
68     86     39     
69     87     40     
70     88     41     
71     89     42     
72     90     43     
73     91     44     
75     92     45     
75     93     46     
76     93     47     
77     93     48     
78     93     49     
78     94     50     
79     94     51     
81     95     52     
82     95     53     
84     95     54     
86     95     55     
88     95     56     
91     95     57     
94     95     58     
96     95     59     
98     96     60     
99     96     61     
100     96     62     
101     96     63     
102     96     64     
103     96     65     
104     96     66     
105     96     67     
106     96     68     
107     96     69     
108     96     70     
110     96     71     
112     96     72     
114     96     73     
115     96     74     
117     96     75     
118     96     76     
119     96     77     
121     96     78     
122     97     79     
123     97     80     
124     97     81     
125     97     82     
126     97     83     
127     97     84     
129     97     85     
131     97     86     
133     97     87     
134     97     88     
136     97     89     
139     97     90     
142     98     91     
145     98     92     
148     98     93     
151     98     94     
154     99     95     
157     100     96     
160     100     97     
162     100     98     
165     100     99     
166     100     100     
167     100     101     
169     101     102     
171     102     103     
173     103     104     
175     103     105     
177     103     106     
179     104     107     
182     105     108     
184     106     109     
186     106     110     
187     106     111     
188     106     112     
189     106     113     
190     106     114     
191     106     115     
192     105     116     
193     105     117     
194     105     118     
195     104     119     
196     104     120     
198     104     121     
200     104     122     
203     104     123     
206     104     124     
209     103     125     
215     103     126     
220     103     127     
226     103     128     
230     103     129     
233     103     130     
236     103     131     
238     103     132     
240     103     133     
241     103     134     
242     103     135     
242     102     136     
245     101     137     
247     101     138     
249     101     139     
251     101     140     
252     101     141     
253     100     142     
254     100     143     
255     100     144     
255     99     145     
256     98     146     
257     97     147     
258     97     148     
258     96     149     
259     96     150     
259     95     151     
260     95     152     
260     94     153     
261     94     154     
262     94     155     
263     94     156     
264     94     157     
265     94     158     
266     94     159     
267     94     160     
268     94     161     
270     94     162     
272     94     163     
274     94     164     
276     94     165     
278     95     166     
280     95     167     
281     96     168     
282     96     169     
283     96     170     
284     96     171     
285     96     172     
286     96     173     
288     97     174     
292     98     175     
294     98     176     
297     99     177     
303     100     178     
307     102     179     
312     104     180     
316     105     181     
320     106     182     
322     106     183     
324     106     184     
325     106     185     
326     106     186     
327     106     187     
328     106     188     
329     106     189     
330     107     190     
331     107     191     
332     107     192     
333     107     193     
334     107     194     
335     107     195     
336     107     196     
337     107     197     
338     107     198     
339     107     199     
340     107     200     
341     107     201     
342     107     202     
343     107     203     
344     107     204     
577     236     205     
575     235     206     
573     233     207     
569     230     208     
564     227     209     
561     224     210     
555     221     211     
547     218     212     
540     215     213     
534     212     214     
528     211     215     
522     209     216     
517     207     217     
512     205     218     
506     203     219     
500     201     220     
496     201     221     
490     200     222     
482     199     223     
476     197     224     
467     194     225     
460     192     226     
451     189     227     
444     187     228     
436     185     229     
427     182     230     
419     180     231     
410     177     232     
402     176     233     
393     175     234     
388     174     235     
382     172     236     
376     171     237     
370     169     238     
364     167     239     
358     166     240     
353     165     241     
347     164     242     
341     163     243     
337     162     244     
334     161     245     
330     160     246     
327     159     247     
324     159     248     
321     158     249     
315     157     250     
309     156     251     
304     155     252     
297     154     253     
288     153     254     
281     152     255     
273     151     256     
264     150     257     
257     149     258     
252     148     259     
245     147     260     
239     146     261     
236     145     262     
233     144     263     
231     144     264     
229     144     265     
228     144     266     
225     143     267     
223     142     268     
221     141     269     
219     141     270     
216     140     271     
212     139     272     
208     138     273     
202     136     274     
198     135     275     
194     135     276     
190     133     277     
186     131     278     
183     129     279     
180     129     280     
175     128     281     
172     127     282     
170     126     283     
168     125     284     
166     125     285     
163     124     286     
161     123     287     
159     122     288     
157     122     289     
154     121     290     
152     120     291     
151     119     292     
150     119     293     
150     118     294     
150     116     295     
152     115     296     
157     113     297     
164     112     298     
172     110     299     
183     109     300     
195     109     301     
208     109     302     
218     109     303     
228     109     304     
238     109     305     
244     109     306     
250     109     307     
258     109     308     
267     109     309     
275     109     310     
283     108     311     
292     107     312     
301     107     313     
311     107     314     
320     106     315     
329     106     316     
337     105     317     
347     104     318     
356     103     319     
366     102     320     
376     102     321     
385     102     322     
395     102     323     
406     102     324     
415     101     325     
425     101     326     
433     101     327     
439     102     328     
443     102     329     
446     103     330     
448     103     331     
449     104     332     
450     104     333     
451     104     334     
452     104     335     
452     105     336     
454     106     337     
458     106     338     
463     107     339     
469     109     340     
475     111     341     
481     114     342     
487     116     343     
493     119     344     
496     121     345     
500     122     346     
502     122     347     
504     123     348     
506     123     349     
508     124     350     
509     124     351     
509     125     352     
512     125     353     
516     125     354     
88     263     355     
88     261     356     
88     258     357     
88     255     358     
88     252     359     
88     250     360     
88     247     361     
88     244     362     
88     241     363     
88     238     364     
89     234     365     
91     231     366     
93     227     367     
97     223     368     
102     219     369     
110     214     370     
117     211     371     
124     208     372     
133     205     373     
140     202     374     
149     199     375     
157     195     376     
166     193     377     
176     191     378     
186     188     379     
194     184     380     
203     181     381     
210     179     382     
218     177     383     
228     176     384     
238     175     385     
246     174     386     
256     173     387     
264     172     388     
275     168     389     
288     165     390     
300     162     391     
312     158     392     
327     155     393     
342     153     394     
357     152     395     
372     151     396     
386     151     397     
399     150     398     
409     150     399     
419     150     400     
428     149     401     
436     149     402     
445     149     403     
452     149     404     
457     150     405     
463     151     406     
467     151     407     
470     151     408     
475     151     409     
478     150     410     
481     149     411     
483     149     412     
485     148     413     
489     147     414     
492     147     415     
497     146     416     
503     146     417     
511     145     418     
519     145     419     
526     145     420     
532     145     421     
535     145     422     
537     145     423     
539     145     424     
540     146     425     
541     146     426     
542     146     427     
543     146     428     
543     147     429     
544     147     430     
32     75     431     
34     76     432     
37     79     433     
41     81     434     
44     83     435     
50     84     436     
59     87     437     
71     91     438     
84     94     439     
96     96     440     
110     99     441     
122     103     442     
135     108     443     
147     110     444     
161     112     445     
174     115     446     
185     116     447     
194     117     448     
204     118     449     
211     119     450     
217     120     451     
222     120     452     
228     120     453     
235     120     454     
243     120     455     
255     119     456     
271     116     457     
288     115     458     
308     115     459     
328     115     460     
345     115     461     
362     115     462     
377     115     463     
389     115     464     
402     115     465     
414     114     466     
422     113     467     
429     112     468     
435     112     469     
441     112     470     
448     113     471     
456     114     472     
464     115     473     
470     116     474     
477     117     475     
483     119     476     
488     120     477     
491     121     478     
495     122     479     
498     122     480     
502     123     481     
505     124     482     
508     125     483     
510     126     484     
512     127     485     
516     130     486     
519     131     487     
523     134     488     
525     136     489     
529     139     490     
532     141     491     
534     142     492     
538     144     493     
540     145     494     
542     145     495     
544     147     496     
547     148     497     
556     150     498     
564     152     499     
577     154     500     
589     158     501     
597     161     502     
603     163     503     
606     164     504     
607     165     505     
607     166     506     
607     167     507     
528     215     508     
526     215     509     
521     216     510     
516     217     511     
507     217     512     
498     217     513     
488     217     514     
476     217     515     
463     214     516     
451     213     517     
435     209     518     
416     205     519     
397     201     520     
378     197     521     
359     193     522     
338     188     523     
316     184     524     
298     181     525     
281     178     526     
266     175     527     
253     172     528     
241     168     529     
231     166     530     
222     164     531     
214     161     532     
205     159     533     
